filename treatment update average
edit_explode_denovo_00002_55 edit_explode_denovo_00002 25000 3.13625
edit_explode_denovo_00002_55 edit_explode_denovo_00002 26000 3.30038
edit_explode_denovo_00002_55 edit_explode_denovo_00002 27000 3.51632
edit_explode_denovo_00002_55 edit_explode_denovo_00002 28000 3.55101
edit_explode_denovo_00002_55 edit_explode_denovo_00002 29000 3.57775
edit_explode_denovo_00002_55 edit_explode_denovo_00002 30000 3.5597
edit_explode_denovo_00002_55 edit_explode_denovo_00002 31000 3.73387
edit_explode_denovo_00002_55 edit_explode_denovo_00002 32000 3.89058
edit_explode_denovo_00002_55 edit_explode_denovo_00002 33000 4.13957
edit_explode_denovo_00002_55 edit_explode_denovo_00002 34000 4.36856
edit_explode_denovo_00002_55 edit_explode_denovo_00002 35000 4.60067
edit_explode_denovo_00002_55 edit_explode_denovo_00002 36000 4.94403
edit_explode_denovo_00002_55 edit_explode_denovo_00002 37000 5.20863
edit_explode_denovo_00002_55 edit_explode_denovo_00002 38000 5.25253
edit_explode_denovo_00002_55 edit_explode_denovo_00002 39000 5.5418
edit_explode_denovo_00002_55 edit_explode_denovo_00002 40000 5.77324
edit_explode_denovo_00002_55 edit_explode_denovo_00002 41000 6.02751
edit_explode_denovo_00002_55 edit_explode_denovo_00002 42000 5.54875
edit_explode_denovo_00002_55 edit_explode_denovo_00002 43000 5.10358
edit_explode_denovo_00002_55 edit_explode_denovo_00002 44000 5.81153
edit_explode_denovo_00002_55 edit_explode_denovo_00002 45000 2.55437
edit_explode_denovo_00002_55 edit_explode_denovo_00002 46000 2.24656
edit_explode_denovo_00002_55 edit_explode_denovo_00002 47000 2.16589
edit_explode_denovo_00002_55 edit_explode_denovo_00002 48000 1.85459
edit_explode_denovo_00002_55 edit_explode_denovo_00002 49000 1.60971
edit_explode_denovo_00002_55 edit_explode_denovo_00002 50000 1.70544
edit_explode_denovo_00002_55 edit_explode_denovo_00002 51000 3.53178
edit_explode_denovo_00002_55 edit_explode_denovo_00002 52000 2.40504
edit_explode_denovo_00002_55 edit_explode_denovo_00002 53000 1.30833
edit_explode_denovo_00002_55 edit_explode_denovo_00002 54000 1.1239
edit_explode_denovo_00002_55 edit_explode_denovo_00002 55000 1.15079
edit_explode_denovo_00002_55 edit_explode_denovo_00002 56000 1.10014
edit_explode_denovo_00002_55 edit_explode_denovo_00002 57000 1.10188
edit_explode_denovo_00002_55 edit_explode_denovo_00002 58000 0.986811
edit_explode_denovo_00002_55 edit_explode_denovo_00002 59000 1.09336
edit_explode_denovo_00002_55 edit_explode_denovo_00002 60000 1.21706
edit_explode_denovo_00002_56 edit_explode_denovo_00002 0 -nan
edit_explode_denovo_00002_56 edit_explode_denovo_00002 1000 0.11401
edit_explode_denovo_00002_56 edit_explode_denovo_00002 2000 0.222754
edit_explode_denovo_00002_56 edit_explode_denovo_00002 3000 0.360593
edit_explode_denovo_00002_56 edit_explode_denovo_00002 4000 0.446574
edit_explode_denovo_00002_56 edit_explode_denovo_00002 5000 0.568998
edit_explode_denovo_00002_56 edit_explode_denovo_00002 6000 0.718306
edit_explode_denovo_00002_56 edit_explode_denovo_00002 7000 1.02853
edit_explode_denovo_00002_56 edit_explode_denovo_00002 8000 1.11347
edit_explode_denovo_00002_56 edit_explode_denovo_00002 9000 1.16964
edit_explode_denovo_00002_56 edit_explode_denovo_00002 10000 1.27595
edit_explode_denovo_00002_56 edit_explode_denovo_00002 11000 1.50995
edit_explode_denovo_00002_56 edit_explode_denovo_00002 12000 1.63667
edit_explode_denovo_00002_56 edit_explode_denovo_00002 13000 1.82388
edit_explode_denovo_00002_56 edit_explode_denovo_00002 14000 2.06033
edit_explode_denovo_00002_56 edit_explode_denovo_00002 15000 2.23211
edit_explode_denovo_00002_56 edit_explode_denovo_00002 16000 2.38359
edit_explode_denovo_00002_56 edit_explode_denovo_00002 17000 2.40858
edit_explode_denovo_00002_56 edit_explode_denovo_00002 18000 2.67343
edit_explode_denovo_00002_56 edit_explode_denovo_00002 19000 2.84657
edit_explode_denovo_00002_56 edit_explode_denovo_00002 20000 3.06384
edit_explode_denovo_00002_56 edit_explode_denovo_00002 21000 3.28892
edit_explode_denovo_00002_56 edit_explode_denovo_00002 22000 3.67094
edit_explode_denovo_00002_56 edit_explode_denovo_00002 23000 3.92345
edit_explode_denovo_00002_56 edit_explode_denovo_00002 24000 3.90745
edit_explode_denovo_00002_56 edit_explode_denovo_00002 25000 3.71357
edit_explode_denovo_00002_56 edit_explode_denovo_00002 26000 3.74388
edit_explode_denovo_00002_56 edit_explode_denovo_00002 27000 3.95013
edit_explode_denovo_00002_56 edit_explode_denovo_00002 28000 4.01484
edit_explode_denovo_00002_56 edit_explode_denovo_00002 29000 4.24755
edit_explode_denovo_00002_56 edit_explode_denovo_00002 30000 4.50238
edit_explode_denovo_00002_56 edit_explode_denovo_00002 31000 5.2421
edit_explode_denovo_00002_56 edit_explode_denovo_00002 32000 4.39873
edit_explode_denovo_00002_56 edit_explode_denovo_00002 33000 4.331
edit_explode_denovo_00002_56 edit_explode_denovo_00002 34000 4.13596
edit_explode_denovo_00002_56 edit_explode_denovo_00002 35000 3.41383
edit_explode_denovo_00002_56 edit_explode_denovo_00002 36000 3.89531
edit_explode_denovo_00002_56 edit_explode_denovo_00002 37000 6.03676
edit_explode_denovo_00002_56 edit_explode_denovo_00002 38000 5.21033
edit_explode_denovo_00002_56 edit_explode_denovo_00002 39000 4.49007
edit_explode_denovo_00002_56 edit_explode_denovo_00002 40000 5.66913
edit_explode_denovo_00002_56 edit_explode_denovo_00002 41000 6.38818
edit_explode_denovo_00002_56 edit_explode_denovo_00002 42000 6.12261
edit_explode_denovo_00002_56 edit_explode_denovo_00002 43000 5.85171
edit_explode_denovo_00002_56 edit_explode_denovo_00002 44000 5.96633
edit_explode_denovo_00002_56 edit_explode_denovo_00002 45000 6.28245
edit_explode_denovo_00002_56 edit_explode_denovo_00002 46000 6.06487
edit_explode_denovo_00002_56 edit_explode_denovo_00002 47000 6.29582
edit_explode_denovo_00002_56 edit_explode_denovo_00002 48000 6.81782
edit_explode_denovo_00002_56 edit_explode_denovo_00002 49000 6.91453
edit_explode_denovo_00002_56 edit_explode_denovo_00002 50000 6.32045
edit_explode_denovo_00002_56 edit_explode_denovo_00002 51000 5.52842
edit_explode_denovo_00002_56 edit_explode_denovo_00002 52000 4.37014
edit_explode_denovo_00002_56 edit_explode_denovo_00002 53000 3.51893
edit_explode_denovo_00002_56 edit_explode_denovo_00002 54000 4.29585
edit_explode_denovo_00002_56 edit_explode_denovo_00002 55000 5.98285
edit_explode_denovo_00002_56 edit_explode_denovo_00002 56000 6.74801
edit_explode_denovo_00002_56 edit_explode_denovo_00002 57000 6.83679
edit_explode_denovo_00002_56 edit_explode_denovo_00002 58000 7.04534
edit_explode_denovo_00002_56 edit_explode_denovo_00002 59000 7.28153
edit_explode_denovo_00002_56 edit_explode_denovo_00002 60000 6.98456
edit_explode_denovo_00002_57 edit_explode_denovo_00002 0 -nan
edit_explode_denovo_00002_57 edit_explode_denovo_00002 1000 0.0730771
edit_explode_denovo_00002_57 edit_explode_denovo_00002 2000 0.201224
edit_explode_denovo_00002_57 edit_explode_denovo_00002 3000 0.323571
edit_explode_denovo_00002_57 edit_explode_denovo_00002 4000 0.39743
edit_explode_denovo_00002_57 edit_explode_denovo_00002 5000 0.685711
edit_explode_denovo_00002_57 edit_explode_denovo_00002 6000 0.841868
edit_explode_denovo_00002_57 edit_explode_denovo_00002 7000 0.918798
edit_explode_denovo_00002_57 edit_explode_denovo_00002 8000 1.12135
edit_explode_denovo_00002_57 edit_explode_denovo_00002 9000 1.1874
edit_explode_denovo_00002_57 edit_explode_denovo_00002 10000 1.27483
edit_explode_denovo_00002_57 edit_explode_denovo_00002 11000 1.36391
edit_explode_denovo_00002_57 edit_explode_denovo_00002 12000 1.43108
edit_explode_denovo_00002_57 edit_explode_denovo_00002 13000 1.65869
edit_explode_denovo_00002_57 edit_explode_denovo_00002 14000 1.79681
edit_explode_denovo_00002_57 edit_explode_denovo_00002 15000 2.08768
edit_explode_denovo_00002_57 edit_explode_denovo_00002 16000 2.13687
edit_explode_denovo_00002_57 edit_explode_denovo_00002 17000 2.21474
edit_explode_denovo_00002_57 edit_explode_denovo_00002 18000 2.26623
edit_explode_denovo_00002_57 edit_explode_denovo_00002 19000 2.41693
edit_explode_denovo_00002_57 edit_explode_denovo_00002 20000 2.50268
